,product_name,price_in_rupees,availability,link
20,Cadbury Roses By Emma Bridgewater Crackles  (800 g),2599,not available,https://flipkart.com/cadbury-roses-emma-bridgewater-crackles/p/itm85403b6d0239e?pid=CHCFYY55EMTJGZCR&lid=LSTCHCFYY55EMTJGZCRW5BNIP&marketplace=FLIPKART&q=chocolates&store=eat%2F0pt&srno=s_1_17&otracker=search&fm=organic&iid=7947c0dd-b6c0-4d6a-ba97-2f79281672b9.CHCFYY55EMTJGZCR.SEARCH&ppt=None&ppn=None&ssid=mg8n9esbfk0000001626165634232&qH=a3a14388adfc387a
21,Zoroy Luxury Chocolate Diwali Glossy black wooden gift box with 16 Signature Chocolates Fudges  (175 g),2599,available,https://flipkart.com/zoroy-luxury-chocolate-diwali-glossy-black-wooden-gift-box-16-signature-chocolates-fudges/p/itmf98qprquf3aw3?pid=CHCF97P3QQ7BZMKF&lid=LSTCHCF97P3QQ7BZMKFU1TLXZ&marketplace=FLIPKART&q=chocolates&store=eat%2F0pt&srno=s_1_18&otracker=search&fm=organic&iid=7947c0dd-b6c0-4d6a-ba97-2f79281672b9.CHCF97P3QQ7BZMKF.SEARCH&ppt=None&ppn=None&ssid=mg8n9esbfk0000001626165634232&qH=a3a14388adfc387a
22,"Zoroy Luxury Chocolate Christmas Finesse hamper of chocolates, plum cake, jelly and honey Fudges, Bars  (1000 g)",2549,available,https://flipkart.com/zoroy-luxury-chocolate-christmas-finesse-hamper-chocolates-plum-cake-jelly-honey-fudges-bars/p/itmfb7ykagmtsesb?pid=CHCFB7UFDDHMH7ZP&lid=LSTCHCFB7UFDDHMH7ZPTWNHTB&marketplace=FLIPKART&q=chocolates&store=eat%2F0pt&srno=s_1_19&otracker=search&fm=organic&iid=7947c0dd-b6c0-4d6a-ba97-2f79281672b9.CHCFB7UFDDHMH7ZP.SEARCH&ppt=None&ppn=None&ssid=mg8n9esbfk0000001626165634232&qH=a3a14388adfc387a
23,"Cadbury Celebrations Rich Dry Fruit Chocolate Gift Pack, 177 g Brittles (Pack of 5) Brittles  (5 x 177 g)",2500,available,https://flipkart.com/cadbury-celebrations-rich-dry-fruit-chocolate-gift-pack-177-g-brittles-pack-5/p/itmf4da2d3c8206f?pid=CHCFX2PGKJNEXU5E&lid=LSTCHCFX2PGKJNEXU5E5LH2RF&marketplace=FLIPKART&q=chocolates&store=eat%2F0pt&srno=s_1_20&otracker=search&fm=organic&iid=7947c0dd-b6c0-4d6a-ba97-2f79281672b9.CHCFX2PGKJNEXU5E.SEARCH&ppt=None&ppn=None&ssid=mg8n9esbfk0000001626165634232&qH=a3a14388adfc387a
24,Zoroy Luxury Chocolate Lantern of Eternal Love for your Valentine Fudges  (80 g),2499,available,https://flipkart.com/zoroy-luxury-chocolate-lantern-eternal-love-your-valentine-fudges/p/itmfd5hbnk7gyxhs?pid=CHCFD3U5EPKFMTCD&lid=LSTCHCFD3U5EPKFMTCDONHSXR&marketplace=FLIPKART&q=chocolates&store=eat%2F0pt&srno=s_1_21&otracker=search&fm=organic&iid=7947c0dd-b6c0-4d6a-ba97-2f79281672b9.CHCFD3U5EPKFMTCD.SEARCH&ppt=None&ppn=None&ssid=mg8n9esbfk0000001626165634232&qH=a3a14388adfc387a
25,Zoroy Luxury Chocolate The Valentine Sandook of Surprise Fudges  (60 g),2499,available,https://flipkart.com/zoroy-luxury-chocolate-valentine-sandook-surprise-fudges/p/itmfd34q9vqvp5ne?pid=CHCFD28H7ZXZH6J7&lid=LSTCHCFD28H7ZXZH6J7WVM49Q&marketplace=FLIPKART&q=chocolates&store=eat%2F0pt&srno=s_1_22&otracker=search&fm=organic&iid=7947c0dd-b6c0-4d6a-ba97-2f79281672b9.CHCFD28H7ZXZH6J7.SEARCH&ppt=None&ppn=None&ssid=mg8n9esbfk0000001626165634232&qH=a3a14388adfc387a
26,Zoroy Luxury Chocolate Ramadan Special Elegant cutwork Wood box Fudges  (270 g),2449,available,https://flipkart.com/zoroy-luxury-chocolate-ramadan-special-elegant-cutwork-wood-box-fudges/p/itmf579ee49urq54?pid=CHCF4SPJXVTSJQFS&lid=LSTCHCF4SPJXVTSJQFSPXMBRQ&marketplace=FLIPKART&q=chocolates&store=eat%2F0pt&srno=s_1_23&otracker=search&fm=organic&iid=7947c0dd-b6c0-4d6a-ba97-2f79281672b9.CHCF4SPJXVTSJQFS.SEARCH&ppt=None&ppn=None&ssid=mg8n9esbfk0000001626165634232&qH=a3a14388adfc387a
27,deeshafoods White Belgium Sugar free Chocolates 24 Bars  (280 g),2400,available,https://flipkart.com/deeshafoods-white-belgium-sugar-free-chocolates-24-bars/p/itmfaz7jjzuqysjz?pid=CHCFAYWFPGJYKPJY&lid=LSTCHCFAYWFPGJYKPJY5IQMIF&marketplace=FLIPKART&q=chocolates&store=eat%2F0pt&srno=s_1_24&otracker=search&fm=organic&iid=7947c0dd-b6c0-4d6a-ba97-2f79281672b9.CHCFAYWFPGJYKPJY.SEARCH&ppt=None&ppn=None&ssid=mg8n9esbfk0000001626165634232&qH=a3a14388adfc387a
28,Innovative Valentine ILU Chocolate in Wooden Gift Box for Valentine Truffles  (24 x 12.5 g),2222,available,https://flipkart.com/innovative-valentine-ilu-chocolate-wooden-gift-box-truffles/p/itmfdfv7wf5bbsbs?pid=CHCFDF4GGRRHFCWK&lid=LSTCHCFDF4GGRRHFCWKUGMR6O&marketplace=FLIPKART&q=chocolates&store=eat%2F0pt&srno=s_1_29&otracker=search&fm=organic&iid=7947c0dd-b6c0-4d6a-ba97-2f79281672b9.CHCFDF4GGRRHFCWK.SEARCH&ppt=None&ppn=None&ssid=mg8n9esbfk0000001626165634232&qH=a3a14388adfc387a
29,la chocoallure Chocolate Pamper Me Vintage Basket Gift Hampers Fudges  (4 x 125 g),2200,available,https://flipkart.com/la-chocoallure-chocolate-pamper-me-vintage-basket-gift-hampers-fudges/p/itmfdc4b50986973?pid=CHCG2VA6HBYYHGYF&lid=LSTCHCG2VA6HBYYHGYFEYYUME&marketplace=FLIPKART&q=chocolates&store=eat%2F0pt&srno=s_1_34&otracker=search&fm=organic&iid=7947c0dd-b6c0-4d6a-ba97-2f79281672b9.CHCG2VA6HBYYHGYF.SEARCH&ppt=None&ppn=None&ssid=mg8n9esbfk0000001626165634232&qH=a3a14388adfc387a
30,la chocoallure Floraqueen Basket Chocolate Gift Hampers Fudges  (4 x 100 g),2200,available,https://flipkart.com/la-chocoallure-floraqueen-basket-chocolate-gift-hampers-fudges/p/itm97668e16df6f4?pid=CHCG2VCBFHYGJNEK&lid=LSTCHCG2VCBFHYGJNEKYM5HWA&marketplace=FLIPKART&q=chocolates&store=eat%2F0pt&srno=s_1_36&otracker=search&fm=organic&iid=7947c0dd-b6c0-4d6a-ba97-2f79281672b9.CHCG2VCBFHYGJNEK.SEARCH&ppt=None&ppn=None&ssid=mg8n9esbfk0000001626165634232&qH=a3a14388adfc387a
31,"la chocoallure oconut, Rose, Mango, Tiramisu , Strawberry Lover's Gift 25 Pieces Chocolate Truffle Gift Box ( 300 GMS, Pink Box) Truffles  (300 g)",2200,available,https://flipkart.com/la-chocoallure-oconut-rose-mango-tiramisu-strawberry-lover-s-gift-25-pieces-chocolate-truffle-box-300-gms-pink-box-truffles/p/itm2be6a6c9b93bb?pid=CHCG2VDYC8GB7NXC&lid=LSTCHCG2VDYC8GB7NXCKF2ZZV&marketplace=FLIPKART&q=chocolates&store=eat%2F0pt&srno=s_1_37&otracker=search&fm=organic&iid=7947c0dd-b6c0-4d6a-ba97-2f79281672b9.CHCG2VDYC8GB7NXC.SEARCH&ppt=None&ppn=None&ssid=mg8n9esbfk0000001626165634232&qH=a3a14388adfc387a
32,"Innovative Diwali Gift Chocolates with WISH YOU A VERY HAPPY DIWALI message in wooden Gift Box for Diwali Truffles, Caramels  (24 x 12.5 g)",2199,available,https://flipkart.com/innovative-diwali-gift-chocolates-wish-you-very-happy-message-wooden-box-truffles-caramels/p/itmb35f53fb9d035?pid=CHCFWX87UYHQAZFH&lid=LSTCHCFWX87UYHQAZFHNLXIQZ&marketplace=FLIPKART&q=chocolates&store=eat%2F0pt&srno=s_1_39&otracker=search&fm=organic&iid=7947c0dd-b6c0-4d6a-ba97-2f79281672b9.CHCFWX87UYHQAZFH.SEARCH&ppt=None&ppn=None&ssid=mg8n9esbfk0000001626165634232&qH=a3a14388adfc387a
33,"Innovative Diwali Chocolates with HAPPY DIWALI message in wooden Gift Box for Diwali Truffles, Caramels  (300 g)",2199,available,https://flipkart.com/innovative-diwali-chocolates-happy-message-wooden-gift-box-truffles-caramels/p/itma4ee030548b2a?pid=CHCFWX6PRWSBUFYY&lid=LSTCHCFWX6PRWSBUFYYZVLLEC&marketplace=FLIPKART&q=chocolates&store=eat%2F0pt&srno=s_1_40&otracker=search&fm=organic&iid=7947c0dd-b6c0-4d6a-ba97-2f79281672b9.CHCFWX6PRWSBUFYY.SEARCH&ppt=None&ppn=None&ssid=mg8n9esbfk0000001626165634232&qH=a3a14388adfc387a
34,Cadbury DAIRY MILK SILK FRUIT & NUT 137 GM Bars  (137 g),153,available,https://flipkart.com/cadbury-dairy-milk-silk-fruit-nut-137-gm-bars/p/itm2612deb31dc6c?pid=CHCEWXEHZNFZPZVW&lid=LSTCHCEWXEHZNFZPZVWAICL0M&marketplace=GROCERY&q=cadbury&store=eat&srno=s_1_1&otracker=search&fm=organic&iid=ca12209c-b80e-4ab1-a39d-b0118a2aac1d.CHCEWXEHZNFZPZVW.SEARCH&ppt=None&ppn=None&ssid=39w6om3sds0000001626269806001&qH=e790a1d73db268d3
35,Cadbury Dairy Milk Home Treats Chocolate Bars  (126 g),96,available,https://flipkart.com/cadbury-dairy-milk-home-treats-chocolate-bars/p/itmewxeh9gyxubsf?pid=CHCEWXEHHEZSAUQS&lid=LSTCHCEWXEHHEZSAUQSNA2VZU&marketplace=GROCERY&q=cadbury&store=eat&spotlightTagId=BestsellerId_eat&srno=s_1_2&otracker=search&fm=organic&iid=ca12209c-b80e-4ab1-a39d-b0118a2aac1d.CHCEWXEHHEZSAUQS.SEARCH&ppt=None&ppn=None&ssid=39w6om3sds0000001626269806001&qH=e790a1d73db268d3
36,Cadbury Nutties Crackles  (30 g),35,available,https://flipkart.com/cadbury-nutties-crackles/p/itmf2asrqwbdrvwy?pid=CHCF2ASRCJZJHV8A&lid=LSTCHCF2ASRCJZJHV8AFINM2W&marketplace=GROCERY&q=cadbury&store=eat&srno=s_1_3&otracker=search&fm=organic&iid=ca12209c-b80e-4ab1-a39d-b0118a2aac1d.CHCF2ASRCJZJHV8A.SEARCH&ppt=None&ppn=None&ssid=39w6om3sds0000001626269806001&qH=e790a1d73db268d3
37,Cadbury Gems Surprise Chocolate Crackles  (15.8 g),45,available,https://flipkart.com/cadbury-gems-surprise-chocolate-crackles/p/itmewxehrv4yxr6s?pid=CHCEWXEHUTZQHCQR&lid=LSTCHCEWXEHUTZQHCQRQUQB3G&marketplace=GROCERY&q=cadbury&store=eat&srno=s_1_4&otracker=search&fm=organic&iid=ca12209c-b80e-4ab1-a39d-b0118a2aac1d.CHCEWXEHUTZQHCQR.SEARCH&ppt=None&ppn=None&ssid=39w6om3sds0000001626269806001&qH=e790a1d73db268d3
38,Cadbury Dairy Milk Silk Fruit and Nut Chocolate Bars  (55 g),66,available,https://flipkart.com/cadbury-dairy-milk-silk-fruit-nut-chocolate-bars/p/itmfykkycdgy3p5v?pid=CHCEWXEHNUTNFAQU&lid=LSTCHCEWXEHNUTNFAQUJRLU50&marketplace=GROCERY&q=cadbury&store=eat&srno=s_1_5&otracker=search&fm=organic&iid=ca12209c-b80e-4ab1-a39d-b0118a2aac1d.CHCEWXEHNUTNFAQU.SEARCH&ppt=None&ppn=None&ssid=39w6om3sds0000001626269806001&qH=e790a1d73db268d3
39,Cadbury 5 Star Oreo Bars  (42 g),31,available,https://flipkart.com/cadbury-5-star-oreo-bars/p/itmfad666c93291d?pid=CHCFZBBZZABGEZGW&lid=LSTCHCFZBBZZABGEZGWV4FHQI&marketplace=GROCERY&q=cadbury&store=eat&srno=s_1_6&otracker=search&fm=organic&iid=ca12209c-b80e-4ab1-a39d-b0118a2aac1d.CHCFZBBZZABGEZGW.SEARCH&ppt=None&ppn=None&ssid=39w6om3sds0000001626269806001&qH=e790a1d73db268d3
40,Cadbury Dairy Milk Silk Mousse Bars  (50 g),80,available,https://flipkart.com/cadbury-dairy-milk-silk-mousse-bars/p/itm2fb4573ed4730?pid=CHCFXMEYSTEZEHFP&lid=LSTCHCFXMEYSTEZEHFPKS6FPN&marketplace=GROCERY&q=cadbury&store=eat&srno=s_1_7&otracker=search&fm=organic&iid=ca12209c-b80e-4ab1-a39d-b0118a2aac1d.CHCFXMEYSTEZEHFP.SEARCH&ppt=None&ppn=None&ssid=39w6om3sds0000001626269806001&qH=e790a1d73db268d3
41,Cadbury Dairy Milk Crispello Bars  (33 g),25,available,https://flipkart.com/cadbury-dairy-milk-crispello-bars/p/itmf8h3hupk5yuhy?pid=CHCF8H3HWUXT6DQR&lid=LSTCHCF8H3HWUXT6DQRQQZWOA&marketplace=GROCERY&q=cadbury&store=eat&srno=s_1_8&otracker=search&fm=organic&iid=ca12209c-b80e-4ab1-a39d-b0118a2aac1d.CHCF8H3HWUXT6DQR.SEARCH&ppt=None&ppn=None&ssid=39w6om3sds0000001626269806001&qH=e790a1d73db268d3
42,Cadbury 5 Star Home Treats Bars  (200 g),93,available,https://flipkart.com/cadbury-5-star-home-treats-bars/p/itmewxehjvp86fh6?pid=CHCEWXEHFYZSRJPH&lid=LSTCHCEWXEHFYZSRJPHS723MY&marketplace=GROCERY&q=cadbury&store=eat&srno=s_1_9&otracker=search&fm=organic&iid=ca12209c-b80e-4ab1-a39d-b0118a2aac1d.CHCEWXEHFYZSRJPH.SEARCH&ppt=None&ppn=None&ssid=39w6om3sds0000001626269806001&qH=e790a1d73db268d3
43,Cadbury Dairy Milk Chocolate Bars  (23 g),17,available,https://flipkart.com/cadbury-dairy-milk-chocolate-bars/p/itmfykkytzh9fkwm?pid=CHCEWXEHQJDGFCNJ&lid=LSTCHCEWXEHQJDGFCNJQSE2GG&marketplace=GROCERY&q=cadbury&store=eat&srno=s_1_10&otracker=search&fm=organic&iid=ca12209c-b80e-4ab1-a39d-b0118a2aac1d.CHCEWXEHQJDGFCNJ.SEARCH&ppt=None&ppn=None&ssid=39w6om3sds0000001626269806001&qH=e790a1d73db268d3
44,Cadbury Bournvita Inner Strength  (1 kg),350,available,https://flipkart.com/cadbury-bournvita-inner-strength/p/itmf2ba171e374f0?pid=MDMETGN5AXBVGCSW&lid=LSTMDMETGN5AXBVGCSWAXMEAW&marketplace=GROCERY&q=cadbury&store=eat&srno=s_1_11&otracker=search&fm=organic&iid=ca12209c-b80e-4ab1-a39d-b0118a2aac1d.MDMETGN5AXBVGCSW.SEARCH&ppt=None&ppn=None&ssid=39w6om3sds0000001626269806001&qH=e790a1d73db268d3
45,Cadbury Bournvita Health  (500 g),193,available,https://flipkart.com/cadbury-bournvita-health/p/itmfgx4gxuzqbdgg?pid=MDMETGN5PGW4R2QF&lid=LSTMDMETGN5PGW4R2QF9B3KVC&marketplace=GROCERY&q=cadbury&store=eat&srno=s_1_12&otracker=search&fm=organic&iid=ca12209c-b80e-4ab1-a39d-b0118a2aac1d.MDMETGN5PGW4R2QF.SEARCH&ppt=None&ppn=None&ssid=39w6om3sds0000001626269806001&qH=e790a1d73db268d3
